name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,
J. Mendes RB LB RWB,20,70+1,79+1,"Sporting Braga
2023 ~ 2028",263854,"177cm / 5'10""",69kg / 152lbs,Right,71,RWB,9,€3.3M,€5K,€7.3M,247,64,35,47,62,39,290,73,56,26,64,71,389,83,86,78,70+6,72,280,43,63+1,76,53,45,283,62+6,63+4,59,59,40,63+6,198,68+4,66,64,52,10,10,13,10,9,1739,382,1,85,40,60,72,64,
F. Back RWB RB,20,62,70,"Carlisle United
Jun 30, 2024 On loan",263951,"188cm / 6'2""",79kg / 174lbs,Right,62,RWB,8,€825K,€7K,€0,231,57,29,53,61,31,244,57,39,36,52,60,315,64,70,67,54,60,267,46,61,70,61,29,239,58,54,41,43,43,60,174,56,59,59,55,13,15,5,13,9,1525,333,1,67,34,53,59,57,
J. Rak-Sakyi RM RW,20,71,79,"Crystal Palace
2021 ~ 2027",264035,"178cm / 5'10""",73kg / 161lbs,Left,72,LM,8,€4.1M,€18K,€8.6M,300,64,69,42,63,62,329,74,69,58,53,75,398,82,85,82,65,84,305,65,56,71,49,64,251,35,21,68,66,61,74,65,22,22,21,53,13,9,5,12,14,1701,363,1,84,66,62,75,24,
L. Dobbin LM ST,20,64,75,"Everton
2020 ~ 2025",264039,"181cm / 5'11""",71kg / 157lbs,Right,65,ST,11,€1.3M,€6K,€2.7M,285,53,63,53,60,56,273,68,58,38,44,65,369,77,82,76,60,74,297,64,63,61,53,56,252,36,30,64,59,63,60,124,40,44,40,38,7,13,6,6,6,1638,357,1,80,62,55,67,41,
Iturbe GK,19,66,78,"Atlético Madrid
2021 ~ 2027",264116,"186cm / 6'1""",75kg / 165lbs,Right,66,GK,12,€1.8M,€4K,€4.1M,77,14,11,12,32,8,90,13,14,13,30,20,260,52,46,51,61,50,207,50,60,32,56,9,99,23,10,6,40,20,36,32,8,11,13,330,66,64,66,65,69,1095,380,1,66,64,66,69,50,
E. Poku RW LW,19,67,84,"AZ Alkmaar
2020 ~ 2026",264219,"173cm / 5'8""",63kg / 139lbs,Right,67,RW,17,€2.6M,€2K,€5.5M,272,58,55,45,58,56,302,72,65,48,48,69,412,91,93,85,62,81,306,75,61,64,48,58,239,52,21,55,55,56,65,86,24,35,27,49,8,10,11,12,8,1666,362,1,92,60,56,72,29,
Diego López LM RM CAM,21,76,84,"Valencia
2021 ~ 2027",264238,"172cm / 5'8""",63kg / 139lbs,Right,77,LM,8,€17M,€23K,€39.1M,345,70,75,59,76,65,339,76,65,52,69,77,375,79,79,74,72,71,329,68,70,69,59,63,298,47,35,78,73,65,63,101,41,30,30,68,14,15,13,14,12,1855,392,1,79,70,71,75,37,
F. Alidou LM RM,21,69,78,"FC Köln
Jun 30, 2024 On loan",264409,"186cm / 6'1""",84kg / 185lbs,Right,70,RM,9,€3.1M,€12K,€0,276,64,62,37,63,50,302,77,55,42,55,73,368,86,85,70,55,72,300,63,64,56,64,53,250,49,25,65,61,50,56,78,28,28,22,36,8,7,7,9,5,1610,364,1,85,59,60,73,28,
Noel ST RW,20,62,76,"Real Madrid
2022 ~ 2026",264490,"182cm / 6'0""",68kg / 150lbs,Right,64,ST,14,€975K,€16K,€2.6M,292,50,64,59,61,58,281,62,59,51,42,67,309,63,68,56,64,58,272,65,55,47,46,59,242,40,24,63,59,56,57,69,35,18,16,59,13,13,11,14,8,1524,320,1,66,62,55,63,28,
C. Slicker GK,20,58,71,"Ipswich Town
2023 ~ 2026",264645,"191cm / 6'3""",82kg / 181lbs,Right,58,GK,13,€425K,€2K,€1.1M,81,12,10,10,40,9,117,20,10,12,35,40,148,30,22,21,53,22,174,43,46,24,51,10,130,35,19,5,52,19,46,57,27,15,15,286,56,60,57,53,60,993,313,1,56,60,57,60,27,
Saúl Coco CB,24,75,82,"Las Palmas
2020 ~ 2025",265650,"188cm / 6'2""",76kg / 168lbs,Right,77,CB,7,€10.5M,€15K,€24.2M,242,34,40,70,69,29,299,59,38,72,67,63,343,80,89,61,60,53,398,85,86,65,84,78,293,77,77,30,58,51,60,228,79,76,73,42,5,8,7,13,9,1845,413,1,85,56,58,60,76,
S. Perkins RM ST CAM,19,60,78,"Leeds United
2022 ~ 2025",266074,"178cm / 5'10""",73kg / 161lbs,Left,64,ST,18,€625K,€4K,€1.6M,274,43,61,55,58,57,270,61,54,42,50,63,325,66,71,65,59,64,320,67,66,61,67,59,248,49,20,61,60,58,60,61,21,20,20,56,13,14,6,12,11,1554,331,1,69,61,53,62,24,
A. Ibrahimović LW LM CAM,17,62,81,"Frosinone
Jun 30, 2024 On loan",266236,"176cm / 5'9""",69kg / 152lbs,Right,64,CAM,19,€1M,€2K,€0,296,55,60,57,59,65,301,68,64,55,46,68,331,68,63,72,52,76,277,65,56,47,48,61,252,48,24,61,59,60,57,70,19,23,28,52,12,12,10,10,8,1579,324,1,65,62,56,67,26,
M. Mampassi CB,20,67,78,"Kortrijk
2022 ~ 2026",266581,"185cm / 6'1""",76kg / 168lbs,Right,69,CB,11,€2.1M,€3K,€3.5M,242,41,32,68,62,39,258,57,41,31,69,60,318,67,68,57,65,61,309,57,75,64,73,40,270,69,65,43,53,40,58,197,66,67,64,54,11,10,7,13,13,1648,357,1,68,40,54,59,66,
S. Ngoma RM ST,17,58,79-1,"New York RB
2022 ~ 2025",267796,"178cm / 5'10""",75kg / 165lbs,Right,59,RM,21,€650K,€500,€1.6M,221,49,47,37,48,40,244,63,42,38,43,58,376,90,90,87,39,70,275,52,62,61,59,41,231,44,38,51,50,48,46,110,38,38,34,52,13,12,10,7,10,1509,341,1,90,47,47,62,38,
W. Kambwala CB RB,18,61,78,"Manchester United
2021 ~ 2025",268414,"192cm / 6'4""",77kg / 170lbs,Right,63,CB,17,€775K,€4K,€2M,215,45,25,60,57,28,230,57,44,22,53,54,317,73,77,63,56,48,252,46,77,35,73,21,242,62,56,47,47,30,64,175,61,59,55,45,11,5,7,13,9,1476,333,1,75,30,50,57,59,
C. McNeill ST,19,61,74,"Manchester United
2021 ~ 2024",268435,"182cm / 6'0""",70kg / 154lbs,Right,63,ST,13,€775K,€10K,€2M,288,60,62,50,58,58,260,57,61,33,47,62,351,74,72,72,58,75,311,65,66,63,63,54,243,48,23,61,57,54,62,52,15,20,17,56,10,12,13,7,14,1561,331,1,73,60,55,61,22,
D. Gore CM CAM,18,61,81,"Port Vale
2021 ~ 2024",268443,"173cm / 5'8""",65kg / 143lbs,Right,65,CAM,20,€900K,€600,€2.5M,238,52,48,27,65,46,296,65,60,45,62,64,371,75,69,80,63,84,256,56,44,62,45,49,281,70,49,58,62,42,64,155,47,53,55,51,8,9,12,12,10,1648,351,1,72,50,60,67,48,
F. Baschirotto CB,26,75,77,"Lecce
2022 ~ 2026",268573,"184cm / 6'0""",77kg / 170lbs,Right,77,CB,2,€6M,€15K,€11.3M,288,60,52,69,63,44,264,49,56,48,57,54,340,71,77,70,70,52,362,53,85,76,92,56,330,88,73,57,63,49,69,224,80,73,71,53,14,11,10,6,12,1861,404,1,74,53,60,55,75,
A. Ali ST RM,26,71,72,"Qatar
Free",268772,"180cm / 5'11""",69kg / 152lbs,Right,72,ST,1,€0,€0,€0,326,45,74,76,58,73,283,68,53,49,49,64,316,67,82,60,65,42,374,77,84,69,76,68,277,55,19,70,59,74,62,51,21,12,18,59,12,14,15,6,12,1686,359,1,75,73,54,64,23,
M. Barsham GK,25,68,73,"Qatar
Free",268783,"180cm / 5'11""",72kg / 159lbs,Right,68,GK,5,€0,€0,€0,52,13,5,12,17,5,64,5,10,13,22,14,287,56,48,56,65,62,174,41,53,28,44,8,83,16,12,6,39,10,48,33,9,13,11,326,69,65,55,68,69,1019,379,1,69,65,55,69,53,
Tiago Gouveia RM LM LW,22,74,83-1,"Benfica
2020 ~ 2028",268868,"176cm / 5'9""",72kg / 159lbs,Right,75,CAM,9,€9.5M,€11K,€20.9M,296,67+2,71,28,68,62,327,77,65+11,47,63,75+1,391,86,84,82,68,71,324,67,56,83,50,68,284,62+9,24+5,66,75+1,57,74+6,100,35+8,36,29,62,12,13,14,8,15,1784,389,1,85,68,67,76,32,
M. van Brederode LW,19,69,81,"AZ Alkmaar
2019 ~ 2027",269159,"174cm / 5'9""",60kg / 132lbs,Right,71,CAM,12,€3.3M,€4K,€5.6M,274,58,63,42,64,47,322,82,65,43,54,78,363,84,55,84,65,75,281,60,56,68,47,50,259,54,30,66,64,45,62,90,24,40,26,53,7,8,15,9,14,1642,351,1,68,58,60,79,32,
D. Coppola CB,19,71,80,"Hellas Verona
2021 ~ 2027",269181,"192cm / 6'4""",78kg / 172lbs,Right,73,CB,9,€3.8M,€8K,€7.6M,240,40,36,69,66,29,249,50,47,36,62,54,270,61,60,37,69,43,293,59,74,55,74,31,272,71,70,35,52,44,58,217,75,73,69,44,10,8,7,14,5,1585,347,1,60,40,55,51,72,
E. Sarıkaya CB,17,61,78,"Grenoble Foot 38
2024 ~ 2027",269187,"185cm / 6'1""",74kg / 163lbs,Left,63,CB,17,€775K,€500,€1.8M,209,44,28,58,52,27,244,52,56,32,48,56,304,65,78,53,53,55,297,38,74,74,78,33,232,64,52,34,37,45,57,177,54,65,58,53,10,11,10,8,14,1516,336,1,72,32,46,54,58,
L. Zeefuik ST CAM,18,64,78,"AZ Alkmaar
2024 ~ 2029",269259,"192cm / 6'4""",80kg / 176lbs,Right,66,ST,14,€1.4M,€1K,€3M,268,45,62,60,53,48,246,65,43,31,45,62,352,78,82,69,60,63,358,71,91,66,79,51,244,62,21,59,52,50,56,66,22,24,20,46,6,11,10,6,13,1580,351,1,80,60,48,64,26,
G. Oristanio CF CAM RM,20,71,84,"Cagliari
Jun 30, 2024 On loan",269276,"174cm / 5'9""",62kg / 137lbs,Left,74,CAM,13,€4.5M,€32K,€0,315,67,65,50,70,63,358,77,73,66,67,75,400,85,88,88,66,73,315,66,63,69,49,68,326,74,53,68,68,63,71,141,45,49,47,41,6,8,9,8,10,1896,407,1,87,66,69,76,49,
M. El Arouch CAM,19,66,81,"Olympique Lyonnais
2022 ~ 2025",269852,"166cm / 5'5""",64kg / 141lbs,Right,68,CAM,15,€2M,€5K,€5.1M,269,58,56,32,67,56,336,73,65,62,64,72,382,77,71,88,58,88,285,63,55,53,56,58,285,49,48,58,64,66,70,161,52,57,52,59,11,12,11,14,11,1777,375,1,74,58,64,74,51,
23 Y. Lagha ST,18,64,82,"Olympique Lyonnais
2022 ~ 2025",269853,"173cm / 5'8""",70kg / 154lbs,Right,66,ST,18,€1.5M,€5K,€3.8M,283,36,67,63,58,59,264,63,54,45,40,62,332,67,73,68,59,65,312,65,64,55,69,59,240,43,19,62,52,64,55,56,17,12,27,49,11,5,5,13,15,1536,328,1,70,64,49,63,22,
B. Miovski ST,24,74,80,"Aberdeen
2022 ~ 2026",269953,"189cm / 6'2""",82kg / 181lbs,Left,76,ST,6,€6.5M,€8K,€12.7M,315,38,81,77,63,56,283,72,62,33,43,73,347,67,73,65,70,72,363,78,82,72,73,58,282,57,24,77,44,80,77,68,21,26,21,55,10,12,7,13,13,1713,365,1,70,74,50,72,29,
E. Omić CDM CM CB,20,64,75,"Wolfsberger AC
2022 ~ 2025",270032,"185cm / 6'1""",75kg / 165lbs,Right,65,CDM,11,€1.2M,€2K,€2M,268,53,40,61,65,49,320,62,66,64,63,65,306,61,66,62,60,57,335,65,68,72,69,61,284,66,57,58,61,42,64,181,60,63,58,52,8,13,12,7,12,1746,369,1,64,51,62,63,60,
M. Joseph ST,19,66,78,"Leeds United
2022 ~ 2028",270206,"185cm / 6'1""",75kg / 165lbs,Right,68,ST,12,€2M,€8K,€4.2M,284,39,65,68,57,55,260,65,52,36,42,65,375,80,84,74,62,75,339,68,78,65,67,61,236,37,15,65,50,69,62,70,24,23,23,39,6,14,6,8,5,1603,348,1,82,65,48,66,26,
R. Andrews RB RWB,18,66,78,"Watford
2022 ~ 2028",270371,"175cm / 5'9""",65kg / 143lbs,Right,66,RB,12,€1.9M,€3K,€4M,230,57,33,43,62,35,265,67,52,29,54,63,387,83,86,74,60,84,259,58,55,68,48,30,260,58,62,55,50,35,61,182,59,62,61,64,10,14,11,14,15,1647,360,1,85,39,55,67,59,
Marquinhos RM,20,70,79,"Arsenal
2022 ~ 2027",270390,"174cm / 5'9""",77kg / 170lbs,Left,71,LM,9,€3.5M,€33K,€7.2M,300,71,58,50,66,55,313,73,67,45,55,73,383,82,77,77,66,81,304,61,65,65,54,59,269,45,33,69,66,56,66,92,30,32,30,42,6,6,12,6,12,1703,364,1,79,59,64,73,33,
B. Bouanani RW,18,69,79,"Lorient
Jun 30, 2024 On loan",270465,"177cm / 5'10""",68kg / 150lbs,Left,71,CAM,10,€2.9M,€8K,€0,310,69,66,45,72,58,328,72,65,55,65,71,350,72,71,72,58,77,290,65,56,60,50,59,259,38,26,68,68,59,67,92,28,34,30,55,10,7,9,14,15,1684,355,1,71,64,68,71,31,
K. Muneer LM,25,64,65,"Qatar
Free",270643,"174cm / 5'9""",67kg / 148lbs,Right,64,LM,1,€0,€0,€0,294,54,63,61,53,63,287,67,57,45,51,67,394,87,80,89,54,84,297,60,69,70,48,50,225,40,26,55,54,50,61,79,24,31,24,43,5,12,6,5,15,1619,347,1,83,59,53,69,30,
M. Penders GK,17,64+1,82+1,"Genk
2022 ~ 2028",270821,"200cm / 6'7""",95kg / 209lbs,Left,64,GK,18,€1.3M,€500,€2.8M,65,12,8,12,24,9,78,11,13,12,25,17,155,17,25,36,50,27,210,45,57,26,73,9,96,27,9,7,38,15,31,33,9,10,14,321,67+1,64+2,60,62+1,68,958,341,1,67,64,60,68,20,
S. Borza LB LM,17,68,81-1,"Rapid Bucuresti
2023 ~ 2027",270863,"183cm / 6'0""",72kg / 159lbs,Left,69,LM,13,€2.6M,€500,€5.1M,300,66,58,50,69,57,312,65,64,53,62,68,370,75,79+2,75+2,64,77,336,68,67,71,64,66,289,59,63,59,64,44,64,193,64,65,64,42,9,7,8,7,11,1842,398,1,77,61,65,67,63,
B. Nelson CB,19,62,76,"Leicester City
2020 ~ 2027",270944,"187cm / 6'2""",74kg / 163lbs,Right,64,CB,14,€875K,€4K,€2.1M,207,35,29,62,53,28,222,46,39,30,49,58,323,66,70,61,59,67,287,49,74,62,75,27,237,63,62,31,42,39,53,177,60,59,58,59,11,12,15,7,14,1512,328,1,68,33,45,53,60,
S. Baidoo CB,19,67,81,"Salzburg
2022 ~ 2027",270997,"187cm / 6'2""",86kg / 190lbs,Right,69,CB,14,€2.3M,€3K,€4.9M,205,27,22,61,67,28,245,57,34,25,62,67,302,69,67,53,57,56,261,39,74,56,74,18,221,68,60,23,35,35,55,206,66,70,70,48,10,8,11,8,11,1488,335,1,68,26,48,59,66,
Gustavo Sá CM CAM,18,70+1,85+1,"Famalicão
2022 ~ 2027",271057,"186cm / 6'1""",80kg / 176lbs,Right,74,CAM,15,€3.7M,€2K,€10.1M,330,64,66,66,74,60,348,74+3,69,60,70,75+3,359,71+3,74+5,72,72,70+3,322,71,77+2,34,74,66,353,73+3,69+1,69,74+1,68,73,200,67,69,64,48,12,10,13,6,7,1960,416,1,73,67,70,74,68,
L. Banda LW,22,72,80,"Lecce
2022 ~ 2026",271197,"162cm / 5'4""",69kg / 152lbs,Right,73,RM,8,€5.5M,€12K,€11M,313,65,65,48,62,73,324,82,65,49,56,72,410,88,89,77,70,86,295,66,59,63,44,63,257,41,25,70,55,66,65,85,22,35,28,52,8,14,6,14,10,1736,371,1,89,66,60,77,30,
M. Jurásek RW LW,19,73,81,"Slavia Praha
2022 ~ 2027",271296,"181cm / 5'11""",73kg / 161lbs,Left,74,LM,8,€6.5M,€700,€15.6M,327,70,70,55,67,65,342,77,64,65,61,75,376,78,82,76,68,72,362,74,73,73,70,72,315,67,51,69,67,61,73,160,57,53,50,48,9,13,7,7,12,1930,415,1,80,70,66,75,54,
C. Richards CB CDM,23,75,79,"Crystal Palace
2022 ~ 2027",250954,"188cm / 6'2""",87kg / 192lbs,Right,77,CB,4,€7M,€28K,€13.8M,247,49,23,78,71,26,242,54,35,24,65,64,333,62,78,61,74,58,281,36,82,65,76,22,270,70,74,38,51,37,64,230,75,78,77,44,13,5,13,7,6,1647,363,1,71,27,58,59,76,
T. Coulibaly LM RM CF,22,70,77,"Montpellier
2023 ~ 2026",251401,"179cm / 5'10""",78kg / 172lbs,Left,71,LM,7,€3.2M,€11K,€7M,296,66,68,38,65,59,311,79,68,41,47,76,377,81,77,85,50,84,282,61,62,63,60,36,295,63,38,66,66,62,56,127,48,42,37,45,8,12,5,6,14,1733,379,1,79,59,62,76,42,
K. Struski CAM CM,22,65,73,"Poland
Free",251411,"172cm / 5'8""",66kg / 146lbs,Right,67,CAM,8,€0,€0,€0,264,54,57,33,68,52,301,67,55,51,60,68,350,71,72,72,62,73,276,57,45,70,45,59,260,48,38,65,63,46,54,124,39,44,41,55,14,12,10,11,8,1630,350,1,72,57,62,67,40,
D. Churlinov RM ST CAM,22,69,76,"Schalke 04
Jun 30, 2024 On loan",251545,"180cm / 5'11""",73kg / 161lbs,Right,71,CAM,7,€2.8M,€18K,€0,311,60,66,57,66,62,333,73,73,60,57,70,389,82,76,83,69,79,302,66,65,59,47,65,308,65,48,67,64,64,67,151,45,56,50,52,13,7,7,14,11,1846,387,1,79,66,63,73,51,
J. Rudoni CM CAM CDM,22,67,77,"Huddersfield Town
2022 ~ 2026",251690,"185cm / 6'1""",77kg / 170lbs,Left,69,CAM,10,€2.3M,€3K,€4.7M,298,59,55,60,69,55,322,68,62,57,64,71,351,70,73,74,63,71,350,71,69,86,62,62,313,64,64,68,64,53,57,183,60,66,57,50,8,8,13,11,10,1867,396,1,72,60,64,69,62,
Luquinha CAM CM RM,22,72,79,"Portimonense
2019 ~ 2024",251990,"167cm / 5'6""",65kg / 143lbs,Right,74,CAM,7,€4.8M,€6K,€11M,300,77,60,30,73,60,347,74,64,65,70,74,399,79,73,91,66,90,271,67,46,63,39,56,269,42,24,66,77,60,71,108,39,37,32,41,6,8,15,6,6,1735,366,1,76,61,73,76,34,
K. Piątkowski CB,23,73,78,"Granada
Jun 30, 2024 On loan",252018,"191cm / 6'3""",87kg / 192lbs,Right,75,CB,5,€4.2M,€12K,€0,272,65,41,70,71,25,299,67,58,34,70,70,375,81,80,74,68,72,369,68,88,82,84,47,296,70,73,59,58,36,68,212,70,72,70,62,13,15,10,12,12,1885,413,1,80,47,65,69,71,
Daniel Bragança CM CDM CAM,24,76+2,83+2,"Sporting CP
2018 ~ 2027",252143,"178cm / 5'10""",71kg / 157lbs,Left,79,CAM,7,€15M,€12K,€33M,325,65-3,71+6,49,77+1,63,379,80+3,76,64,78,81+3,412,77,81,92,71,91,323,66,64-2,67,58-2,68+4,343,59,65+4,71,82+2,66,75-3,201,64,68,69,54,6,12,14,11,11,2037,429,1,79,69,75,81,64,
I. Jakobs LWB LM LB,23,74,79,"Monaco
2021 ~ 2026",252293,"184cm / 6'0""",75kg / 165lbs,Left,74,LWB,5,€6M,€30K,€11.9M,303,70,64,59,69,41,290,74,59,30,54,73,377,83,84,72,70,68,335,65,75,78,65,52+8,316,66,68,64,63+5,55,68,201,65,67,69,51,15,8,10,7,11,1873,415,1,84,60,63,73,66,
Y. Larouci LWB,22,69,75,"Sheffield United
Jun 30, 2024 On loan",252302,"176cm / 5'9""",68kg / 150lbs,Left,69,LWB,6,€2.1M,€3K,€0,277,66,45,59,65,42,280,71,50,38,52,69,344,74,72,64,65,69,301,52,70,69,62,48,281,61,64,56,54,46,59,196,66,65,65,42,11,10,8,6,7,1721,377,1,73,47,59,69,65,
R. Zerrouki CDM CM,25,75,78,"Feyenoord
2023 ~ 2027",252383,"183cm / 6'0""",72kg / 159lbs,Right,77,CM,3,€6.5M,€14K,€9.6M,307,59,58,52,80,58,359,74,64,67,79,75,350,70,66,73,69,72,386,76,72,85,79,74,350,82,71,68,72,57,74,206,70,68,68,49,6,11,14,12,6,2007,429,1,68,65,73,74,68,
L. Ivanušec LW CAM,24,76,79,"Feyenoord
2023 ~ 2028",252931,"175cm / 5'9""",76kg / 168lbs,Right,78,CAM,3,€10M,€16K,€14.8M,333,66,70,53,72,72,375,85,70,70,71,79,414,90,75,81,77,91,368,75,76,74,70,73,348,72,59,71,72,74,76,169,60,60,49,54,6,11,13,10,14,2061,436,1,82,72,70,82,58,
J. O'Brien CB,22,74,81,"Olympique Lyonnais
2023 ~ 2027",253510,"197cm / 6'6""",84kg / 185lbs,Right,76,CB,7,€8M,€23K,€16.8M,248,26,38,78,67,39,246,44,38,50,54,60,305,66,85,44,69,41,327,56,87,65,85,34,265,68,72,41,48,36,58,217,70,76,71,55,12,11,11,9,12,1663,369,1,76,41,51,51,73,
Talles Magno CF ST LM,21,73,82,"New York City
2021 ~ 2026",253755,"186cm / 6'1""",70kg / 154lbs,Right,74,CAM,9,€7M,€6K,€11.6M,301,57,64,54,69,57,320,79,64,44,47,86,388,85,81,81,69,72,335,65,74,71,69,56,259,38,24,70,66,61,72,118,45,48,25,48,8,10,12,6,12,1769,391,1,83,62,61,80,41,
S. Turati GK,21,73,82,"Frosinone
Jun 30, 2024 On loan",254502,"188cm / 6'2""",85kg / 187lbs,Right,73,GK,9,€6M,€7K,€0,65,11,10,13,24,7,71,7,11,13,20,20,213,37,31,46,64,35,199,53,55,30,54,7,110,28,12,8,45,17,24,38,10,14,14,364,74,70,70,73,77,1060,399,1,74,70,70,77,35,
L. Da Cunha CAM RM,22,72,77,"Como
2023 ~ 2026",254579,"176cm / 5'9""",69kg / 152lbs,Left,74,CAM,5,€3.6M,€3K,€6M,314,62,64,56,72,60,347,76,68,57,69,77,369,78,75,80,63,73,323,71,66,60,54,72,282,50,33,70,67,62,65,117,31,44,42,60,8,9,14,15,14,1812,380,1,76,67,68,75,39,
M. Arezo ST,20,71-1,81-1,"Granada
2022 ~ 2026",254653,"175cm / 5'9""",76kg / 168lbs,Right,73,ST,10,€4.1M,€11K,€9.8M,332,59,73-1,66,65,69,308,68-1,58,60,49,73-2,368,75,63,79,74-1,77,352,78,75,60,67,72,321,59,49,73-1,67,73-1,63,115,28,44,43,45,8,6,12,10,9,1841,380,1,68,74,61,71,42,
O. Dorley CDM CM,24,77,81,"Slavia Praha
2019 ~ 2027",254909,"174cm / 5'9""",66kg / 146lbs,Left,79,LWB,4,€14M,€1K,€31.9M,324,74,52-3,64,80,54,373,76+1,75,67,76,79,402,80,76,86,77,83,319,43-12,75,86,64,51-9,348,72,76,64-3,74-2,62,79+1,224,76,74+2,74+1,43,11,6,8,13,5,2033,429,1,78,51,76,78,74,
J. Marshall-Rutty RB CM LM,19,60,75,"Toronto
2020 ~ 2024",255335,"170cm / 5'7""",69kg / 152lbs,Right,64,RM,15,€550K,€650,€1.1M,229,54,49,30,59,37,277,68,50,39,54,66,382,84,78,82,57,81,238,55,42,60,32,49,243,39,50,51,52,51,63,166,54,56,56,55,13,13,11,8,10,1590,347,1,81,50,54,69,52,
Samú Costa CDM CM,22,74,82,"Mallorca
2023 ~ 2028",255566,"183cm / 6'0""",75kg / 165lbs,Left,75,CDM,8,€9M,€17K,€20.7M,293,55,57,57,76,48,306,66,45,50,74,71,324,66,58,67,69,64,368,78,70,79,71,70,329,73,75,61,68,52,66,212,70,72,70,48,6,7,12,14,9,1880,403,1,62,63,67,68,70,
R. Sosa LM RM,23,75,81,"Talleres Córdoba
2023 ~ 2026",255718,"178cm / 5'10""",76kg / 168lbs,Right,76,RM,6,€9M,€13K,€15.3M,293,67,69,41,72,44,324,79,63,40,68,74,378,81,82,77,70,68,322,70,61,74,55,62,302,62,51,73,72,44,64,141,42,59,40,43,6,8,9,14,6,1803,402,1,82,66,68,76,49,
S. Rodríguez CAM LM CF,23,72,78-1,"New York City
2023 ~ 2027",255862,"172cm / 5'8""",62kg / 137lbs,Right,74,CAM,6,€3.7M,€6K,€6.1M,295,66,70,36,72,51,321,74,57,53,64,73,380,81,73,87,70,69,297,62,53,76,45,61,282,41,42,71,72,56,70,107,34,42,31,47,11,8,6,10,12,1729,374,1,77,65,68,74,38,
Z. Suzuki GK,20,68,77,"Sint-Truiden
2024 ~ 2027",255981,"190cm / 6'3""",91kg / 201lbs,Right,68,GK,9,€2.3M,€3K,€3.8M,58,12,6,12,21,7,72,14,13,11,23,11,269,55,58,59,64,33,235,53,73,23,78,8,89,26,7,7,31,18,29,31,8,12,11,341,68,65,71,65,72,1095,397,1,68,65,71,72,56,
N. Collins CB,19,63,80,"Eintracht Frankfurt
2023 ~ 2028",256500,"191cm / 6'3""",84kg / 185lbs,Right,65,CB,17,€1.2M,€3K,€2.8M,210,44,22,62,58,24,187,44,23,20,47,53,347,83,86,63,58,57,270,33,85,53,78,21,207,59,59,30,34,25,46,181,58,64,59,46,12,8,8,10,8,1448,334,1,85,25,45,50,61,
A. Aravena LM ST CAM,20,72,83,"Universidad Católica
2020 ~ 2024",256530,"175cm / 5'9""",70kg / 154lbs,Right,74,ST,11,€5M,€6K,€8M,323,58,74,64,68,59,310,73,55,46,61,75,387,86,79,82,69,71,354,70,79,76,67,62,288,51,31,73,68,65,66,47,20,13,14,44,8,8,14,7,7,1753,380,1,82,70,63,74,24,
B. Chrisene LWB LB,19,65,77,"Blackburn Rovers
Jun 30, 2024 On loan",256556,"183cm / 6'0""",80kg / 176lbs,Left,65,LWB,12,€1.6M,€8K,€0,267,65,54,44,64,40,286,65,61,37,59,64,336,71,73,67,60,65,281,57,59,63,62,40,267,56,58,48,57,48,54,178,56,62,60,42,5,6,10,9,12,1657,366,1,72,51,61,64,57,
Y. Mosquera CB RB,22,70,79,"Villarreal
Jun 30, 2024 On loan",256666,"188cm / 6'2""",84kg / 185lbs,Right,72,CB,9,€3.3M,€24K,€0,216,35,20,69,61,31,223,41,40,29,54,59,348,76,80,69,68,55,304,45,81,68,75,35,257,70,70,35,45,37,65,207,70,69,68,41,8,7,8,10,8,1596,351,1,78,30,49,52,69,
A. Şimşir LW ST,21,68,80,"Midtjylland
2020 ~ 2028",256933,"177cm / 5'10""",71kg / 157lbs,Right,70,CAM,12,€3M,€9K,€4.5M,280,54,65,38,67,56,313,72,61,57,55,68,384,80,74,83,64,83,312,63,61,70,61,57,271,47,35,68,68,53,66,106,35,37,34,54,11,11,11,13,8,1720,369,1,77,62,62,72,36,
A. Grønbæk CAM CM,22,74,82,"Bodø / Glimt
2022 ~ 2028",256949,"176cm / 5'9""",65kg / 143lbs,Right,76,CAM,8,€9.5M,€6K,€14.3M,327,68,70,55,73,61,351,75,69,62,70,75,392,78,76,85,69,84,355,67,72,86,65,65,336,68,64,72,76,56,76,188,62,64,62,48,8,12,13,6,9,1997,424,1,77,67,71,76,62,
A. Karabec RW,19,71,79,"Sparta Praha
2020 ~ 2025",256970,"185cm / 6'1""",74kg / 163lbs,Left,73,CAM,8,€4M,€500,€9.6M,316,65,64,49,73,65,335,75,63,59,66,72,366,74,73,80,68,71,325,66,65,67,64,63,297,51,29,69,73,75,74,103,33,32,38,56,14,14,8,7,13,1798,377,1,73,65,69,74,34,
